Type,2020,2019,2018,2017,2016,2015,2014
All invasive xnmsc,0.811776847,0.841515039,0.843287502,0.851400775,0.8529,0.85361154,0.852207604
All registrations,0.865363238,0.889209232,0.821283496,0.897312117,0.9022,0.902147004,
Haematology,0.821927214,0.829925427,0.908300594,0.868754928,0.8751,0.861970154,0.851418654
Head and Neck,0.960878244,0.969852529,0.975493679,0.97566861,0.9755,0.97308127,0.97299341
Lower GI,0.848720354,0.876759093,0.879953899,0.887538642,0.8898,0.890633373,0.894170428
Upper GI,0.888191671,0.920113272,0.92135576,0.93156073,0.9313,0.931273837,0.930682896
HPB,0.501232394,0.529298919,0.498770925,0.532298256,0.526,0.518510985,0.517505394
"Trachea, Bronchus & Lung",0.641539329,0.691572893,0.678373638,0.696833393,0.7012,0.70808427,0.705443958
Melanoma of skin,0.992866875,0.992529978,0.997191235,0.99643377,0.9964,0.995133273,0.992405646
Breast,0.97524383,0.982722275,0.983350573,0.986575289,0.9863,0.98494577,0.984615716
Cervix,0.970476592,0.974771481,0.984602666,0.978000772,0.9761,0.98413328,0.975289575
Other Female Genitals,0.929944327,0.936669756,0.937089366,0.949141561,0.9439,0.944176707,0.946720775
Prostate,0.824522434,0.859895954,0.861313767,0.858328681,0.8603,0.863830315,0.860376693
Kidney,0.666219839,0.707778255,0.71453612,0.745229548,0.7354,0.74044324,0.729975787
Bladder,0.853976234,0.875585807,0.895865302,0.903177527,0.91,0.904459348,0.91152626
Brain and CNS,0.650817884,0.693843594,0.639554674,0.710840847,0.6963,0.708297506,0.713862289
Thyroid & other endocrine glands,0.956496005,0.967774676,0.969763866,0.973420977,0.9723,0.967095423,0.96224649
CUP,0.376274478,0.426064398,0.432170121,0.461549623,0.4753,0.48902027,0.493774211
Other invasive cancer,0.833315164,0.852483394,0.845359393,0.869168676,0.8846,0.876811594,0.876239174
Breast in situ,0.999019416,0.997857239,0.999831921,0.999006951,1,0.999708114,0.999708029
Cervix in situ,0.999940716,0.999709316,0.999926108,0.999666317,1,0.999880163,1
Other tumours,0.847861305,0.865423848,0.89009929,0.873937163,0.8918,0.887234508,0.883402194